Name,Industry,Yahoo Finance Symbol
NIFTY 50,Broad Market,^NSEI
USD/INR,Currency,INR=X
NIFTY NEXT 50,Broad Market,^NSMIDCP
NIFTY 100,Broad Market,^CNX100
NIFTY 500,Broad Market,^CRSLDX
NIFTY MIDCAP 150,Broad Market,NIFTYMIDCAP150.NS
NIFTY SMALLCAP 250,Broad Market,NIFTYSMLCAP250.NS
NIFTY AUTO,Automobile,^CNXAUTO
NIFTY BANK,Banking,^NSEBANK
NIFTY FINANCIAL SERVICES,Financial Services,NIFTY_FIN_SERVICE.NS
NIFTY FMCG,Consumer Goods,^CNXFMCG
Nifty HEALTHCARE,Healthcare,NIFTY_HEALTHCARE.NS
NIFTY IT,Technology,^CNXIT
NIFTY MEDIA,Media & Entertainment,^CNXMEDIA
NIFTY METAL,Metals & Mining,^CNXMETAL
NIFTY PHARMA,Pharmaceuticals,^CNXPHARMA
NIFTY PSU BANK,Banking,^CNXPSUBANK
NIFTY REALTY,Real Estate,^CNXREALTY
NIFTY CONSUMER DURABLES,Consumer Durables,NIFTY_CONSR_DURBL.NS
NIFTY OIL AND GAS INDEX,Oil & Gas,NIFTY_OIL_AND_GAS.NS
